platform,social_id,username,fullname,avatar_url,is_verified,subscribers_count,engagement_avg,authentic_engagement,audience_geo_country_1_code,audience_geo_country_1_prc,blogger_thematics,video_views_avg,likes_avg,comments_avg,shares_avg,description,tier,hs_value,aqs,additional_countries
Instagram,541532709,casemiro,Casemiro,https://cdn.hypeauditor.com/img/instagram/user/541532709.jpg?w=150&till=1722470340&sign=cfd47408fa24b5b321e850f0e179e94c,True,22378093,298549.0,226947.0,br,16.92,['Sports with a ball'],,,,,,,,,
Instagram,1229482812,cauareymond,Cauã Reymond,https://cdn.hypeauditor.com/img/instagram/user/1229482812.jpg?w=150&till=1722470340&sign=7c62d73ba0e48d494a73e57ad9494bb5,True,14953261,46114.0,29043.0,br,73.76,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,1537545104,cavaniofficial21,Edinson Cavani,https://cdn.hypeauditor.com/img/instagram/user/1537545104.jpg?w=150&till=1722470340&sign=b80d47015dcb916090b09e32e4dadf03,True,10555005,103626.0,79802.0,br,32.57,['Sports with a ball'],,,,,,,,,
Instagram,1958960829,celinedion,Céline Dion,https://cdn.hypeauditor.com/img/instagram/user/1958960829.jpg?w=150&till=1722470340&sign=2577e04f8d63bb0c556b28dc894a2d61,True,6529476,111762.0,86533.0,us,16.89,['Music'],,,,,,,,,
Instagram,8721569510,cerol,Cerol 🙅🏻‍♂️,https://cdn.hypeauditor.com/img/instagram/user/8721569510.jpg?w=150&till=1722470340&sign=ee35c3d83343ccae78d9730beb4ee4e4,True,9366578,70592.0,53598.0,br,84.24,"['Family', 'Lifestyle', 'Shows']",,,,,,,,,
Instagram,273852862,chaelincl,CL,https://cdn.hypeauditor.com/img/instagram/user/273852862.jpg?w=150&till=1722470340&sign=ce2f51cd859477401c9ee5f60cb64cd8,True,10775908,251924.0,206695.0,br,11.73,"['Art/Artists', 'Fashion', 'Modeling', 'Photography']",,,,,,,,,
Instagram,1269788896,championsleague,UEFA Champions League,https://cdn.hypeauditor.com/img/instagram/user/1269788896.jpg?w=150&till=1722470340&sign=23403623c8679c5f7b496a3019805e15,True,115550864,317437.0,269487.0,in,6.87,['Sports with a ball'],,,,,,,,,
Instagram,695995017,chanelofficial,CHANEL,https://cdn.hypeauditor.com/img/instagram/user/695995017.jpg?w=150&till=1722470340&sign=c1f2b246e58f9a07b1ce48a19ce68ffe,True,59945092,17854.0,14230.0,us,12.59,"['Fashion', 'Accessories & Jewellery', 'Clothing & Outfits', 'Beauty']",,,,,,,,,
Instagram,20315007,channingtatum,Channing Tatum,https://cdn.hypeauditor.com/img/instagram/user/20315007.jpg?w=150&till=1722470340&sign=e7bfcc3a893b296ac58004d5198f7047,True,16895345,127248.0,67986.0,us,32.06,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,292222317,charles_leclerc,Charles Leclerc,https://cdn.hypeauditor.com/img/instagram/user/292222317.jpg?w=150&till=1722470340&sign=972c6c791e389977d05fd1b51fb3ef3c,True,15866600,1713028.0,1292515.0,it,28.88,['Racing Sports'],,,,,,,,,
Instagram,7555881,charlieputh,Charlie Puth,https://cdn.hypeauditor.com/img/instagram/user/7555881.jpg?w=150&till=1722470340&sign=f801a2c6a15f743f80ab549940eaae3a,True,18255348,529225.0,426486.0,us,21.74,['Music'],,,,,,,,,
Instagram,6922889519,chefin23,Chefin 23,https://cdn.hypeauditor.com/img/instagram/user/6922889519.jpg?w=150&till=1722470340&sign=60cbfdafd5a703809b0d1e188584b811,True,6686914,689417.0,498745.0,br,79.01,,,,,,,,,,
Instagram,11305924,chloegmoretz,Chloë Grace Moretz,https://cdn.hypeauditor.com/img/instagram/user/11305924.jpg?w=150&till=1722470340&sign=29f1583f6b8fd009ca78d5810c2199a6,True,24376790,302091.0,221525.0,us,20.45,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,29394004,chrisbrownofficial,BROWN,https://cdn.hypeauditor.com/img/instagram/user/29394004.jpg?w=150&till=1722470340&sign=32adf34d8996bd7e6384e714e5ede13b,True,144975638,319875.0,216013.0,us,38.72,['Music'],,,,,,,,,
Instagram,104902672,chrismcg,Christopher McGinnis,https://cdn.hypeauditor.com/img/instagram/user/104902672.jpg?w=150&till=1722470340&sign=169c744a29aa86b67efc1d65fcac1618,True,10034910,122856.0,35441.0,us,22.48,,,,,,,,,,
Instagram,200045508,christianchavezreal,Chris Cha,https://cdn.hypeauditor.com/img/instagram/user/200045508.jpg?w=150&till=1722470340&sign=bca2e4af3e3e59a0e971e543c7bca607,True,4688092,192828.0,107574.0,br,57.61,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,24941582,christian_fig,Christian Figueiredo,https://cdn.hypeauditor.com/img/instagram/user/24941582.jpg?w=150&till=1722470340&sign=45d19a9dc28242ddc65fc9bc09c34dac,True,11367849,106615.0,73687.0,br,84.09,"['Cinema & Actors/actresses', 'Lifestyle']",,,,,,,,,
Instagram,335658364,cinthiacruz_,𝕮𝖎𝖓𝖙𝖍𝖎𝖆 ✞,https://cdn.hypeauditor.com/img/instagram/user/335658364.jpg?w=150&till=1722470340&sign=47da66dbe6b7b254ea153dac865603ff,True,14350318,73279.0,46731.0,br,76.31,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,9446524,claireholt,Claire Holt,https://cdn.hypeauditor.com/img/instagram/user/9446524.jpg?w=150&till=1722470340&sign=84641c680e660c1142a072dc12d78d9b,True,7466728,136850.0,95123.0,us,19.91,"['Cinema & Actors/actresses', 'Lifestyle']",,,,,,,,,
Instagram,53534717,claramaia_,Clara Maia | ACFIT2 BURN,https://cdn.hypeauditor.com/img/instagram/user/53534717.jpg?w=150&till=1722470340&sign=cc1c965c75ba3d42e4eea97c34d3bc89,True,2634918,281975.0,185502.0,br,86.16,['Fashion'],,,,,,,,,
Instagram,362405136,claudiaalende,Claudia Alende,https://cdn.hypeauditor.com/img/instagram/user/362405136.jpg?w=150&till=1722470340&sign=3d8e038396989b7fac9c343785c910cd,True,8717534,209560.0,109289.0,us,20.12,"['Beauty', 'Modeling', 'Lifestyle', 'Fashion']",,,,,,,,,
Instagram,1386961778,claudiatrindadeoficial,CLÁUDIA TRINDADE 🇧🇷,https://cdn.hypeauditor.com/img/instagram/user/1386961778.jpg?w=150&till=1722470340&sign=1dce0cb2e61e1af894653cbee842c763,True,2735440,192530.0,130520.0,br,78.67,"['Lifestyle', 'Family']",,,,,,,,,
Instagram,397233241,cocielo,Júlio Cocielo Estaniecki,https://cdn.hypeauditor.com/img/instagram/user/397233241.jpg?w=150&till=1722470340&sign=cd36c9fa049674073e7bd56ff5998d01,True,23892006,522209.0,382278.0,br,83.33,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,250131908,coldplay,Coldplay,https://cdn.hypeauditor.com/img/instagram/user/250131908.jpg?w=150&till=1722470340&sign=52092eb11a906c11723919536724d235,True,26340219,253898.0,200196.0,us,12.53,['Music'],,,,,,,,,
Instagram,221970674,conangray,Conan Gray,https://cdn.hypeauditor.com/img/instagram/user/221970674.jpg?w=150&till=1722470340&sign=e6d55b8d705f152c757d6518898676bd,True,7718656,609530.0,481051.0,us,28.05,['Music'],,,,,,,,,
Instagram,8401839564,coreano0_tv,Adriano Luiz Junior,https://cdn.hypeauditor.com/img/instagram/user/8401839564.jpg?w=150&till=1722470340&sign=601b1733445cf2682a660bae0a6a88eb,True,1782472,337694.0,205103.0,br,81.09,"['Lifestyle', 'Cinema & Actors/actresses']",,,,,,,,,
Instagram,4513300817,courteneycoxofficial,Courteney Cox,https://cdn.hypeauditor.com/img/instagram/user/4513300817.jpg?w=150&till=1722470340&sign=a8e914746fc36b3b30be7b6008d5a825,True,15061406,172807.0,141258.0,us,20.33,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,48427624203,coxixaram,Coxixei,https://cdn.hypeauditor.com/img/instagram/user/48427624203.jpg?w=150&till=1722470340&sign=c8fcb68355fdca2c4b7863c3e537d6eb,False,768425,1711206.0,1016317.0,br,79.22,['Music'],,,,,,,,,
Instagram,47663534778,cremosinho,Cremosinho,https://cdn.hypeauditor.com/img/instagram/user/47663534778.jpg?w=150&till=1722470340&sign=2a701829cc1ad83f29092110d8740a55,True,8500148,200811.0,115545.0,br,85.09,['Lifestyle'],,,,,,,,,
Instagram,48213575314,cristianbellk,Cristian Bell 🍪🤙🏾,https://cdn.hypeauditor.com/img/instagram/user/48213575314.jpg?w=150&till=1722470340&sign=bd47ea6945b116fef2613b08ff7491c0,True,5276230,353791.0,196361.0,br,81.58,"['Family', 'Humor & Fun & Happiness']",,,,,,,,,
Instagram,173560420,cristiano,Cristiano Ronaldo,https://cdn.hypeauditor.com/img/instagram/user/173560420.jpg?w=150&till=1722470340&sign=018281be7ebf4db51dc1e198ff4cdfe7,True,631136262,6302969.0,4841749.0,in,13.63,['Sports with a ball'],,,,,,,,,
Instagram,4774283014,crusherfooxi10,Crusher,https://cdn.hypeauditor.com/img/instagram/user/4774283014.jpg?w=150&till=1722470340&sign=629059e845e0aeb12d08803ed48bb216,True,4271344,357411.0,253617.0,br,79.02,,,,,,,,,,
Instagram,52183872040,dahhyunnee,다현 (DAHYUN),https://cdn.hypeauditor.com/img/instagram/user/52183872040.jpg?w=150&till=1722470340&sign=0a6fe3675efedf039a5260a4112d6dda,True,9430002,873244.0,617634.0,us,10.9,['Music'],,,,,,,,,
